"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"04","Arizona","04001","Apache","2022","10","",
"04","Arizona","04003","Cochise","2022","56","",
"04","Arizona","04005","Coconino","2022","37","",
"04","Arizona","04007","Gila","2022","8","",
"04","Arizona","04009","Graham","2022","Suppressed","",
"04","Arizona","04011","Greenlee","2022","0","",
"04","Arizona","04012","La Paz","2022","Suppressed","",
"04","Arizona","04013","Maricopa","2022","1,433","",
"04","Arizona","04015","Mohave","2022","27","",
"04","Arizona","04017","Navajo","2022","51","",
"04","Arizona","04019","Pima","2022","505","",
"04","Arizona","04021","Pinal","2022","172","",
"04","Arizona","04023","Santa Cruz","2022","12","",
"04","Arizona","04025","Yavapai","2022","68","",
"04","Arizona","04027","Yuma","2022","28","",
"12","Florida","12001","Alachua","2022","211","",
"12","Florida","12003","Baker","2022","10","",
"12","Florida","12005","Bay","2022","52","",
"12","Florida","12007","Bradford","2022","15","",
"12","Florida","12009","Brevard","2022","190","",
"12","Florida","12011","Broward","2022","1,020","",
"12","Florida","12013","Calhoun","2022","Suppressed","",
"12","Florida","12015","Charlotte","2022","62","",
"12","Florida","12017","Citrus","2022","26","",
"12","Florida","12019","Clay","2022","72","",
"12","Florida","12021","Collier","2022","126","",
"12","Florida","12023","Columbia","2022","34","",
"12","Florida","12027","DeSoto","2022","13","",
"12","Florida","12029","Dixie","2022","6","",
"12","Florida","12031","Duval","2022","458","",
"12","Florida","12033","Escambia","2022","120","",
"12","Florida","12035","Flagler","2022","27","",
"12","Florida","12037","Franklin","2022","0","",
"12","Florida","12039","Gadsden","2022","8","",
"12","Florida","12041","Gilchrist","2022","8","",
"12","Florida","12043","Glades","2022","Suppressed","",
"12","Florida","12045","Gulf","2022","Suppressed","",
"12","Florida","12047","Hamilton","2022","9","",
"12","Florida","12049","Hardee","2022","Suppressed","",
"12","Florida","12051","Hendry","2022","18","",
"12","Florida","12053","Hernando","2022","63","",
"12","Florida","12055","Highlands","2022","35","",
"12","Florida","12057","Hillsborough","2022","707","",
"12","Florida","12059","Holmes","2022","Suppressed","",
"12","Florida","12061","Indian River","2022","44","",
"12","Florida","12063","Jackson","2022","7","",
"12","Florida","12065","Jefferson","2022","Suppressed","",
"12","Florida","12067","Lafayette","2022","Suppressed","",
"12","Florida","12069","Lake","2022","136","",
"12","Florida","12071","Lee","2022","283","",
"12","Florida","12073","Leon","2022","60","",
"12","Florida","12075","Levy","2022","21","",
"12","Florida","12077","Liberty","2022","Suppressed","",
"12","Florida","12079","Madison","2022","0","",
"12","Florida","12081","Manatee","2022","98","",
"12","Florida","12083","Marion","2022","167","",
"12","Florida","12085","Martin","2022","61","",
"12","Florida","12086","Miami-Dade","2022","1,280","",
"12","Florida","12087","Monroe","2022","16","",
"12","Florida","12089","Nassau","2022","26","",
"12","Florida","12091","Okaloosa","2022","40","",
"12","Florida","12093","Okeechobee","2022","22","",
"12","Florida","12095","Orange","2022","883","",
"12","Florida","12097","Osceola","2022","336","",
"12","Florida","12099","Palm Beach","2022","720","",
"12","Florida","12101","Pasco","2022","245","",
"12","Florida","12103","Pinellas","2022","307","",
"12","Florida","12105","Polk","2022","369","",
"12","Florida","12107","Putnam","2022","29","",
"12","Florida","12113","Santa Rosa","2022","49","",
"12","Florida","12115","Sarasota","2022","99","",
"12","Florida","12117","Seminole","2022","215","",
"12","Florida","12109","St. Johns","2022","81","",
"12","Florida","12111","St. Lucie","2022","159","",
"12","Florida","12119","Sumter","2022","19","",
"12","Florida","12121","Suwannee","2022","21","",
"12","Florida","12123","Taylor","2022","Suppressed","",
"12","Florida","12125","Union","2022","17","",
"12","Florida","12127","Volusia","2022","243","",
"12","Florida","12129","Wakulla","2022","Suppressed","",
"12","Florida","12131","Walton","2022","20","",
"12","Florida","12133","Washington","2022","7","",
"19","Iowa","19001","Adair","2022","0","",
"19","Iowa","19003","Adams","2022","0","",
"19","Iowa","19005","Allamakee","2022","Suppressed","",
"19","Iowa","19007","Appanoose","2022","Suppressed","",
"19","Iowa","19009","Audubon","2022","Suppressed","",
"19","Iowa","19011","Benton","2022","Suppressed","",
"19","Iowa","19013","Black Hawk","2022","25","",
"19","Iowa","19015","Boone","2022","Suppressed","",
"19","Iowa","19017","Bremer","2022","Suppressed","",
"19","Iowa","19019","Buchanan","2022","Suppressed","",
"19","Iowa","19021","Buena Vista","2022","Suppressed","",
"19","Iowa","19023","Butler","2022","Suppressed","",
"19","Iowa","19025","Calhoun","2022","Suppressed","",
"19","Iowa","19027","Carroll","2022","Suppressed","",
"19","Iowa","19029","Cass","2022","Suppressed","",
"19","Iowa","19031","Cedar","2022","Suppressed","",
"19","Iowa","19033","Cerro Gordo","2022","17","",
"19","Iowa","19035","Cherokee","2022","Suppressed","",
"19","Iowa","19037","Chickasaw","2022","Suppressed","",
"19","Iowa","19039","Clarke","2022","Suppressed","",
"19","Iowa","19041","Clay","2022","0","",
"19","Iowa","19043","Clayton","2022","Suppressed","",
"19","Iowa","19045","Clinton","2022","6","",
"19","Iowa","19047","Crawford","2022","0","",
"19","Iowa","19049","Dallas","2022","7","",
"19","Iowa","19051","Davis","2022","0","",
"19","Iowa","19053","Decatur","2022","Suppressed","",
"19","Iowa","19055","Delaware","2022","Suppressed","",
"19","Iowa","19057","Des Moines","2022","11","",
"19","Iowa","19059","Dickinson","2022","Suppressed","",
"19","Iowa","19061","Dubuque","2022","22","",
"19","Iowa","19063","Emmet","2022","Suppressed","",
"19","Iowa","19065","Fayette","2022","Suppressed","",
"19","Iowa","19067","Floyd","2022","Suppressed","",
"19","Iowa","19069","Franklin","2022","Suppressed","",
"19","Iowa","19071","Fremont","2022","Suppressed","",
"19","Iowa","19073","Greene","2022","0","",
"19","Iowa","19075","Grundy","2022","Suppressed","",
"19","Iowa","19077","Guthrie","2022","Suppressed","",
"19","Iowa","19079","Hamilton","2022","0","",
"19","Iowa","19081","Hancock","2022","Suppressed","",
"19","Iowa","19083","Hardin","2022","Suppressed","",
"19","Iowa","19085","Harrison","2022","0","",
"19","Iowa","19087","Henry","2022","Suppressed","",
"19","Iowa","19089","Howard","2022","Suppressed","",
"19","Iowa","19091","Humboldt","2022","0","",
"19","Iowa","19093","Ida","2022","0","",
"19","Iowa","19095","Iowa","2022","Suppressed","",
"19","Iowa","19097","Jackson","2022","Suppressed","",
"19","Iowa","19099","Jasper","2022","Suppressed","",
"19","Iowa","19101","Jefferson","2022","Suppressed","",
"19","Iowa","19103","Johnson","2022","18","",
"19","Iowa","19105","Jones","2022","Suppressed","",
"19","Iowa","19107","Keokuk","2022","Suppressed","",
"19","Iowa","19109","Kossuth","2022","Suppressed","",
"19","Iowa","19111","Lee","2022","9","",
"19","Iowa","19113","Linn","2022","62","",
"19","Iowa","19115","Louisa","2022","Suppressed","",
"19","Iowa","19117","Lucas","2022","Suppressed","",
"19","Iowa","19119","Lyon","2022","0","",
"19","Iowa","19121","Madison","2022","Suppressed","",
"19","Iowa","19123","Mahaska","2022","Suppressed","",
"19","Iowa","19125","Marion","2022","Suppressed","",
"19","Iowa","19127","Marshall","2022","Suppressed","",
"19","Iowa","19129","Mills","2022","0","",
"19","Iowa","19131","Mitchell","2022","Suppressed","",
"19","Iowa","19133","Monona","2022","Suppressed","",
"19","Iowa","19135","Monroe","2022","Suppressed","",
"19","Iowa","19137","Montgomery","2022","0","",
"19","Iowa","19139","Muscatine","2022","Suppressed","",
"19","Iowa","19141","O'Brien","2022","0","",
"19","Iowa","19143","Osceola","2022","0","",
"19","Iowa","19145","Page","2022","Suppressed","",
"19","Iowa","19147","Palo Alto","2022","0","",
"19","Iowa","19149","Plymouth","2022","Suppressed","",
"19","Iowa","19151","Pocahontas","2022","0","",
"19","Iowa","19153","Polk","2022","109","",
"19","Iowa","19155","Pottawattamie","2022","6","",
"19","Iowa","19157","Poweshiek","2022","Suppressed","",
"19","Iowa","19159","Ringgold","2022","0","",
"19","Iowa","19161","Sac","2022","0","",
"19","Iowa","19163","Scott","2022","52","",
"19","Iowa","19165","Shelby","2022","Suppressed","",
"19","Iowa","19167","Sioux","2022","Suppressed","",
"19","Iowa","19169","Story","2022","17","",
"19","Iowa","19171","Tama","2022","Suppressed","",
"19","Iowa","19173","Taylor","2022","0","",
"19","Iowa","19175","Union","2022","0","",
"19","Iowa","19177","Van Buren","2022","Suppressed","",
"19","Iowa","19179","Wapello","2022","Suppressed","",
"19","Iowa","19181","Warren","2022","Suppressed","",
"19","Iowa","19183","Washington","2022","Suppressed","",
"19","Iowa","19185","Wayne","2022","0","",
"19","Iowa","19187","Webster","2022","Suppressed","",
"19","Iowa","19189","Winnebago","2022","Suppressed","",
"19","Iowa","19191","Winneshiek","2022","Suppressed","",
"19","Iowa","19193","Woodbury","2022","13","",
"19","Iowa","19195","Worth","2022","Suppressed","",
"19","Iowa","19197","Wright","2022","Suppressed","",
"34","New Jersey","34001","Atlantic","2022","164","",
"34","New Jersey","34003","Bergen","2022","390","",
"34","New Jersey","34005","Burlington","2022","340","",
"34","New Jersey","34007","Camden","2022","550","",
"34","New Jersey","34009","Cape May","2022","54","",
"34","New Jersey","34011","Cumberland","2022","171","",
"34","New Jersey","34013","Essex","2022","828","",
"34","New Jersey","34015","Gloucester","2022","105","",
"34","New Jersey","34017","Hudson","2022","414","",
"34","New Jersey","34019","Hunterdon","2022","27","",
"34","New Jersey","34021","Mercer","2022","185","",
"34","New Jersey","34023","Middlesex","2022","478","",
"34","New Jersey","34025","Monmouth","2022","294","",
"34","New Jersey","34027","Morris","2022","141","",
"34","New Jersey","34029","Ocean","2022","276","",
"34","New Jersey","34031","Passaic","2022","288","",
"34","New Jersey","34033","Salem","2022","14","",
"34","New Jersey","34035","Somerset","2022","128","",
"34","New Jersey","34037","Sussex","2022","39","",
"34","New Jersey","34039","Union","2022","253","",
"34","New Jersey","34041","Warren","2022","38","",
"35","New Mexico","35001","Bernalillo","2022","354","",
"35","New Mexico","35003","Catron","2022","0","",
"35","New Mexico","35005","Chaves","2022","20","",
"35","New Mexico","35006","Cibola","2022","11","",
"35","New Mexico","35007","Colfax","2022","7","",
"35","New Mexico","35009","Curry","2022","35","",
"35","New Mexico","35011","De Baca","2022","Suppressed","",
"35","New Mexico","35013","Dona Ana","2022","78","",
"35","New Mexico","35015","Eddy","2022","19","",
"35","New Mexico","35017","Grant","2022","14","",
"35","New Mexico","35019","Guadalupe","2022","0","",
"35","New Mexico","35021","Harding","2022","0","",
"35","New Mexico","35023","Hidalgo","2022","0","",
"35","New Mexico","35025","Lea","2022","13","",
"35","New Mexico","35027","Lincoln","2022","6","",
"35","New Mexico","35028","Los Alamos","2022","Suppressed","",
"35","New Mexico","35029","Luna","2022","8","",
"35","New Mexico","35031","McKinley","2022","18","",
"35","New Mexico","35033","Mora","2022","Suppressed","",
"35","New Mexico","35035","Otero","2022","21","",
"35","New Mexico","35037","Quay","2022","Suppressed","",
"35","New Mexico","35039","Rio Arriba","2022","18","",
"35","New Mexico","35041","Roosevelt","2022","Suppressed","",
"35","New Mexico","35045","San Juan","2022","50","",
"35","New Mexico","35047","San Miguel","2022","17","",
"35","New Mexico","35043","Sandoval","2022","84","",
"35","New Mexico","35049","Santa Fe","2022","56","",
"35","New Mexico","35051","Sierra","2022","Suppressed","",
"35","New Mexico","35053","Socorro","2022","11","",
"35","New Mexico","35055","Taos","2022","18","",
"35","New Mexico","35057","Torrance","2022","10","",
"35","New Mexico","35059","Union","2022","0","",
"35","New Mexico","35061","Valencia","2022","37","",
"36","New York","36001","Albany","2022","141","",
"36","New York","36003","Allegany","2022","11","",
"36","New York","36005","Bronx","2022","3,879","",
"36","New York","36007","Broome","2022","82","",
"36","New York","36009","Cattaraugus","2022","20","",
"36","New York","36011","Cayuga","2022","19","",
"36","New York","36013","Chautauqua","2022","27","",
"36","New York","36015","Chemung","2022","42","",
"36","New York","36017","Chenango","2022","15","",
"36","New York","36019","Clinton","2022","13","",
"36","New York","36021","Columbia","2022","15","",
"36","New York","36023","Cortland","2022","18","",
"36","New York","36025","Delaware","2022","14","",
"36","New York","36027","Dutchess","2022","165","",
"36","New York","36029","Erie","2022","484","",
"36","New York","36031","Essex","2022","6","",
"36","New York","36033","Franklin","2022","14","",
"36","New York","36035","Fulton","2022","11","",
"36","New York","36037","Genesee","2022","14","",
"36","New York","36039","Greene","2022","11","",
"36","New York","36041","Hamilton","2022","0","",
"36","New York","36043","Herkimer","2022","9","",
