StateFIPS,State,CountyFIPS,County,Year,Value,Data Comment,Unnamed: 7,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
4,Arizona,4001,Apache,2022,10,,,363,359,4,0,0,0,0,57,27,11,0,0,0,58,305
4,Arizona,4003,Cochise,2022,56,,,365,291,73,1,0,0,0,101,61,44,0,0,331,2,32
4,Arizona,4005,Coconino,2022,37,,,365,279,85,1,0,0,0,101,64,44,0,0,358,7,0
4,Arizona,4007,Gila,2022,8,,,365,245,102,16,2,0,0,177,84,45,0,0,339,2,24
4,Arizona,4012,La Paz,2022,,,,359,275,83,1,0,0,0,130,64,44,0,0,337,12,10
4,Arizona,4013,Maricopa,2022,"1,433",,,365,27,242,73,17,6,0,264,136,75,0,1,204,83,77
4,Arizona,4015,Mohave,2022,27,,,357,340,16,1,0,0,0,115,32,17,0,0,0,0,357
4,Arizona,4017,Navajo,2022,51,,,364,307,57,0,0,0,0,93,58,44,0,0,356,5,3
4,Arizona,4019,Pima,2022,505,,,365,147,205,13,0,0,0,142,81,53,0,0,196,94,75
4,Arizona,4021,Pinal,2022,172,,,365,91,238,28,3,2,3,689,100,61,0,0,138,40,187
4,Arizona,4023,Santa Cruz,2022,12,,,357,220,136,1,0,0,0,138,69,43,0,0,0,328,29
4,Arizona,4025,Yavapai,2022,68,,,365,341,24,0,0,0,0,87,48,40,0,0,365,0,0
4,Arizona,4027,Yuma,2022,28,,,365,228,128,9,0,0,0,142,73,46,0,0,199,98,68
12,Florida,12001,Alachua,2022,211,,,362,292,70,0,0,0,0,84,54,41,0,0,131,231,0
12,Florida,12003,Baker,2022,10,,,365,266,99,0,0,0,0,87,55,43,0,0,106,259,0
12,Florida,12005,Bay,2022,52,,,365,218,147,0,0,0,0,99,59,46,0,0,101,264,0
12,Florida,12009,Brevard,2022,190,,,365,288,77,0,0,0,0,80,54,43,0,0,179,186,0
12,Florida,12011,Broward,2022,"1,020",,,365,197,168,0,0,0,0,100,61,49,0,1,58,306,0
12,Florida,12017,Citrus,2022,26,,,342,229,113,0,0,0,0,78,55,45,0,0,0,342,0
12,Florida,12021,Collier,2022,126,,,347,277,70,0,0,0,0,82,53,40,0,0,115,232,0
12,Florida,12023,Columbia,2022,34,,,363,234,129,0,0,0,0,91,60,45,0,0,101,262,0
12,Florida,12031,Duval,2022,458,,,365,144,221,0,0,0,0,93,64,53,0,1,49,315,0
12,Florida,12033,Escambia,2022,120,,,365,191,173,1,0,0,0,133,64,49,0,0,106,259,0
12,Florida,12035,Flagler,2022,27,,,361,352,9,0,0,0,0,100,44,34,0,0,361,0,0
12,Florida,12047,Hamilton,2022,9,,,294,165,129,0,0,0,0,73,58,47,0,0,0,294,0
12,Florida,12055,Highlands,2022,35,,,349,337,11,1,0,0,0,112,46,33,0,0,349,0,0
12,Florida,12057,Hillsborough,2022,707,,,365,175,189,1,0,0,0,126,64,51,0,0,91,274,0
12,Florida,12059,Holmes,2022,,,,365,204,161,0,0,0,0,91,60,47,0,0,51,314,0
12,Florida,12061,Indian River,2022,44,,,357,349,8,0,0,0,0,67,44,33,0,0,357,0,0
12,Florida,12069,Lake,2022,136,,,364,349,15,0,0,0,0,87,47,35,0,0,364,0,0
12,Florida,12071,Lee,2022,283,,,302,238,64,0,0,0,0,80,55,42,0,0,138,164,0
12,Florida,12073,Leon,2022,60,,,364,211,153,0,0,0,0,93,60,47,0,0,55,309,0
12,Florida,12077,Liberty,2022,,,,355,346,9,0,0,0,0,74,45,32,0,0,355,0,0
12,Florida,12081,Manatee,2022,98,,,349,336,13,0,0,0,0,80,46,33,0,0,349,0,0
12,Florida,12083,Marion,2022,167,,,363,259,104,0,0,0,0,93,55,44,0,0,128,235,0
12,Florida,12085,Martin,2022,61,,,356,280,75,1,0,0,0,108,54,42,0,0,95,261,0
12,Florida,12086,Miami-Dade,2022,"1,280",,,365,259,104,2,0,0,0,136,59,44,0,13,78,274,0
12,Florida,12091,Okaloosa,2022,40,,,170,155,15,0,0,0,0,84,49,39,0,0,166,0,4
12,Florida,12095,Orange,2022,883,,,365,317,48,0,0,0,0,97,52,39,0,0,305,60,0
12,Florida,12097,Osceola,2022,336,,,364,348,16,0,0,0,0,80,46,34,0,0,364,0,0
12,Florida,12099,Palm Beach,2022,720,,,365,275,90,0,0,0,0,90,57,41,0,0,122,243,0
12,Florida,12101,Pasco,2022,245,,,361,332,29,0,0,0,0,87,50,37,0,0,361,0,0
